Player,Team,Stat
Carson Beck,Georgia,459
Drew Allar,Penn State,391
Dillon Gabriel,Oregon,341
Garrett Nussmeier,LSU,337
CJ Bailey,NC State,329
Will Howard,Ohio State,326
Cade Klubnik,Clemson,309
Jaxson Dart,Ole Miss,284
Noah Fifita,Arizona,275
Riley Leonard,Notre Dame,229
Avery Johnson,Kansas State,224
Miller Moss,USC,220
Brady Cook,Missouri,219
Jalen Milroe,Alabama,209
Cameron Rising,Utah,209
Quinn Ewers,Texas,199
Nico Iamaleava,Tennessee,169
Michael Hawkins Jr.,Oklahoma,148
Cade McNamara,Iowa,108
